date,category,value,units,notes
01/07/23,Total Deaths,531906,value in absolute number,
30/06/23,Total Positive Cases,44994188,value in absolute number,
30/06/23,Number of Active cases,1533,value in absolute number,
30/06/23,Total Recovered,44460750,value in absolute number,
30/06/23,Total Deaths,531905,value in absolute number,
29/06/23,Total Positive Cases,44994144,value in absolute number,
29/06/23,Number of Active cases,1549,value in absolute number,
29/06/23,Total Recovered,44460690,value in absolute number,
29/06/23,Total Deaths,531905,value in absolute number,
28/06/23,Total Positive Cases,44994097,value in absolute number,
28/06/23,Number of Active cases,1579,value in absolute number,
28/06/23,Total Recovered,44460613,value in absolute number,
28/06/23,Total Deaths,531905,value in absolute number,
27/06/23,Total Positive Cases,44994032,value in absolute number,
27/06/23,Number of Active cases,1606,value in absolute number,
27/06/23,Total Recovered,44460523,value in absolute number,
27/06/23,Total Deaths,531903,value in absolute number,
26/06/23,Total Positive Cases,44993999,value in absolute number,
26/06/23,Number of Active cases,1655,value in absolute number,
26/06/23,Total Recovered,44460441,value in absolute number,
26/06/23,Total Deaths,531903,value in absolute number,
25/06/23,Total Positive Cases,44993952,value in absolute number,
25/06/23,Number of Active cases,1670,value in absolute number,
25/06/23,Total Recovered,44460379,value in absolute number,
25/06/23,Total Deaths,531903,value in absolute number,
24/06/23,Total Positive Cases,44993872,value in absolute number,
24/06/23,Number of Active cases,1653,value in absolute number,
24/06/23,Total Recovered,44460316,value in absolute number,
24/06/23,Total Deaths,531903,value in absolute number,
23/06/23,Total Positive Cases,44993817,value in absolute number,
23/06/23,Number of Active cases,1712,value in absolute number,
23/06/23,Total Recovered,44460203,value in absolute number,
23/06/23,Total Deaths,531902,value in absolute number,
22/06/23,Total Positive Cases,44993766,value in absolute number,
22/06/23,Number of Active cases,1784,value in absolute number,
22/06/23,Total Recovered,44460082,value in absolute number,
22/06/23,Total Deaths,531900,value in absolute number,
21/06/23,Total Positive Cases,44993671,value in absolute number,
21/06/23,Number of Active cases,1786,value in absolute number,
21/06/23,Total Recovered,44459987,value in absolute number,
21/06/23,Total Deaths,531898,value in absolute number,
20/06/23,Total Positive Cases,44993579,value in absolute number,
20/06/23,Number of Active cases,1844,value in absolute number,
20/06/23,Total Recovered,44459838,value in absolute number,
20/06/23,Total Deaths,531897,value in absolute number,
19/06/23,Total Positive Cases,44993543,value in absolute number,
19/06/23,Number of Active cases,1910,value in absolute number,
19/06/23,Total Recovered,44459737,value in absolute number,
19/06/23,Total Deaths,531896,value in absolute number,
18/06/23,Total Positive Cases,44993480,value in absolute number,
18/06/23,Number of Active cases,1925,value in absolute number,
18/06/23,Total Recovered,44459660,value in absolute number,
18/06/23,Total Deaths,531895,value in absolute number,
17/06/23,Total Positive Cases,44993390,value in absolute number,
17/06/23,Number of Active cases,1983,value in absolute number,
17/06/23,Total Recovered,44459514,value in absolute number,
17/06/23,Total Deaths,531893,value in absolute number,
16/06/23,Total Positive Cases,44993282,value in absolute number,
16/06/23,Number of Active cases,2017,value in absolute number,
16/06/23,Total Recovered,44459372,value in absolute number,
16/06/23,Total Deaths,531893,value in absolute number,
15/06/23,Total Positive Cases,44993186,value in absolute number,
15/06/23,Number of Active cases,2067,value in absolute number,
15/06/23,Total Recovered,44459226,value in absolute number,
15/06/23,Total Deaths,531893,value in absolute number,
14/06/23,Total Positive Cases,44993080,value in absolute number,
14/06/23,Number of Active cases,2148,value in absolute number,
14/06/23,Total Recovered,44459040,value in absolute number,
14/06/23,Total Deaths,531892,value in absolute number,
13/06/23,Total Positive Cases,44992960,value in absolute number,
13/06/23,Number of Active cases,2248,value in absolute number,
13/06/23,Total Recovered,44458820,value in absolute number,
13/06/23,Total Deaths,531892,value in absolute number,
12/06/23,Total Positive Cases,44992880,value in absolute number,
12/06/23,Number of Active cases,2350,value in absolute number,
12/06/23,Total Recovered,44458639,value in absolute number,
12/06/23,Total Deaths,531891,value in absolute number,
11/06/23,Total Positive Cases,44992788,value in absolute number,
11/06/23,Number of Active cases,2450,value in absolute number,
11/06/23,Total Recovered,44458447,value in absolute number,
11/06/23,Total Deaths,531891,value in absolute number,
10/06/23,Total Positive Cases,44992648,value in absolute number,
10/06/23,Number of Active cases,2501,value in absolute number,
10/06/23,Total Recovered,44458259,value in absolute number,
10/06/23,Total Deaths,531888,value in absolute number,
09/06/23,Total Positive Cases,44992462,value in absolute number,
09/06/23,Number of Active cases,2555,value in absolute number,
09/06/23,Total Recovered,44458019,value in absolute number,
09/06/23,Total Deaths,531888,value in absolute number,
08/06/23,Total Positive Cases,44992293,value in absolute number,
08/06/23,Number of Active cases,2687,value in absolute number,
08/06/23,Total Recovered,44457720,value in absolute number,
08/06/23,Total Deaths,531886,value in absolute number,
07/06/23,Total Positive Cases,44992094,value in absolute number,
07/06/23,Number of Active cases,2831,value in absolute number,
07/06/23,Total Recovered,44457379,value in absolute number,
07/06/23,Total Deaths,531884,value in absolute number,
06/06/23,Total Positive Cases,44991880,value in absolute number,
06/06/23,Number of Active cases,3001,value in absolute number,
06/06/23,Total Recovered,44456995,value in absolute number,
06/06/23,Total Deaths,531884,value in absolute number,
05/06/23,Total Positive Cases,44991756,value in absolute number,
05/06/23,Number of Active cases,3193,value in absolute number,
05/06/23,Total Recovered,44456681,value in absolute number,
05/06/23,Total Deaths,531882,value in absolute number,
04/06/23,Total Positive Cases,44991741,value in absolute number,
04/06/23,Number of Active cases,3502,value in absolute number,
04/06/23,Total Recovered,44456359,value in absolute number,
04/06/23,Total Deaths,531880,value in absolute number,
03/06/23,Total Positive Cases,44991380,value in absolute number,
03/06/23,Number of Active cases,3502,value in absolute number,
03/06/23,Total Recovered,44456000,value in absolute number,
03/06/23,Total Deaths,531878,value in absolute number,
02/06/23,Total Positive Cases,44991143,value in absolute number,
02/06/23,Number of Active cases,3736,value in absolute number,
02/06/23,Total Recovered,44455533,value in absolute number,
02/06/23,Total Deaths,531874,value in absolute number,
01/06/23,Total Positive Cases,44990876,value in absolute number,
01/06/23,Number of Active cases,3925,value in absolute number,
01/06/23,Total Recovered,44455079,value in absolute number,
01/06/23,Total Deaths,531872,value in absolute number,
31/05/23,Total Positive Cases,44990588,value in absolute number,
31/05/23,Number of Active cases,4222,value in absolute number,
31/05/23,Total Recovered,44454496,value in absolute number,
31/05/23,Total Deaths,531870,value in absolute number,
30/05/23,Total Positive Cases,44990278,value in absolute number,
30/05/23,Number of Active cases,4503,value in absolute number,
30/05/23,Total Recovered,44453908,value in absolute number,
30/05/23,Total Deaths,531867,value in absolute number,
29/05/23,Total Positive Cases,44990054,value in absolute number,
29/05/23,Number of Active cases,4709,value in absolute number,
29/05/23,Total Recovered,44453479,value in absolute number,
29/05/23,Total Deaths,531866,value in absolute number,
28/05/23,Total Positive Cases,44989744,value in absolute number,
28/05/23,Number of Active cases,4972,value in absolute number,
28/05/23,Total Recovered,44452908,value in absolute number,
28/05/23,Total Deaths,531864,value in absolute number,
27/05/23,Total Positive Cases,44989341,value in absolute number,
27/05/23,Number of Active cases,5259,value in absolute number,
27/05/23,Total Recovered,44452223,value in absolute number,
27/05/23,Total Deaths,531859,value in absolute number,
26/05/23,Total Positive Cases,44988916,value in absolute number,
26/05/23,Number of Active cases,5707,value in absolute number,
26/05/23,Total Recovered,44451353,value in absolute number,
26/05/23,Total Deaths,531856,value in absolute number,
25/05/23,Total Positive Cases,44988426,value in absolute number,
25/05/23,Number of Active cases,6168,value in absolute number,
25/05/23,Total Recovered,44450404,value in absolute number,
25/05/23,Total Deaths,531854,value in absolute number,
24/05/23,Total Positive Cases,44987891,value in absolute number,
24/05/23,Number of Active cases,6591,value in absolute number,
24/05/23,Total Recovered,44449451,value in absolute number,
24/05/23,Total Deaths,531849,value in absolute number,
23/05/23,Total Positive Cases,44987339,value in absolute number,
23/05/23,Number of Active cases,7104,value in absolute number,
23/05/23,Total Recovered,44448392,value in absolute number,
23/05/23,Total Deaths,531843,value in absolute number,
22/05/23,Total Positive Cases,44986934,value in absolute number,
22/05/23,Number of Active cases,7623,value in absolute number,
22/05/23,Total Recovered,44447472,value in absolute number,
22/05/23,Total Deaths,531839,value in absolute number,
21/05/23,Total Positive Cases,44986461,value in absolute number,
21/05/23,Number of Active cases,8115,value in absolute number,
21/05/23,Total Recovered,44446514,value in absolute number,
21/05/23,Total Deaths,531832,value in absolute number,
20/05/23,Total Positive Cases,44985705,value in absolute number,
20/05/23,Number of Active cases,8675,value in absolute number,
20/05/23,Total Recovered,44445206,value in absolute number,
20/05/23,Total Deaths,531824,value in absolute number,
19/05/23,Total Positive Cases,44984923,value in absolute number,
19/05/23,Number of Active cases,9092,value in absolute number,
19/05/23,Total Recovered,44444013,value in absolute number,
19/05/23,Total Deaths,531818,value in absolute number,
18/05/23,Total Positive Cases,44984058,value in absolute number,
18/05/23,Number of Active cases,10179,value in absolute number,
