year,month,country,category,value_rupee,value_usd,currency,unit,note
2023,August,Malaysia,Export,583290.14,704.47,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Malaysia,Import,818906.84,989.11,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Malaysia,Trade Balance,-235616.7,-284.64,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Nepal,Export,475692.62,574.33,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Nepal,Import,53812.41,65.03,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Nepal,Trade Balance,421880.21,509.3,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Netherlands,Export,1259688.75,1521.46,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Netherlands,Import,442725.14,534.71,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Netherlands,Trade Balance,816963.61,986.75,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Nigeria,Export,337692.79,407.8,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Nigeria,Import,481720.39,581.87,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Nigeria,Trade Balance,-144027.6,-174.07,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,North Korea,Export,457409.91,552.42,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,North Korea,Import,1367813.26,1652.14,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,North Korea,Trade Balance,-910403.35,-1099.72,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Qatar,Export,127094.32,153.39,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Qatar,Import,759767.32,917.75,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Qatar,Trade Balance,-632673.0,-764.36,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Russia,Export,293183.55,354.11,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Russia,Import,4925645.79,5949.87,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Russia,Trade Balance,-4632462.24,-5595.76,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Saudi Arabia,Export,710361.23,857.94,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Saudi Arabia,Import,2233161.99,2697.53,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Saudi Arabia,Trade Balance,-1522800.76,-1839.59,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Singapore,Export,1244501.45,1503.16,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Singapore,Import,1653024.42,1996.64,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Singapore,Trade Balance,-408522.97,-493.48,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,South Africa,Export,679951.87,821.24,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,South Africa,Import,589269.35,711.81,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,South Africa,Trade Balance,90682.52,109.43,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Sri Lanka,Export,268495.07,324.15,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Sri Lanka,Import,199899.06,241.48,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Sri Lanka,Trade Balance,68596.01,82.67,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Switzerland,Export,63640.66,76.8,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Switzerland,Import,1813667.06,2190.74,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
