fiscal_year,year,month,phase,sale_period,state,city,election,transaction_type,bond_type,total_bonds,value_of_bonds,units,note
2023-24,2023,July,27,3rd July to 12th July 2023,Andhra Pradesh,Vishakapatnam,No Elections,Sold/ Purchased,One Crore Bond,2,20000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,July,27,3rd July to 12th July 2023,Odisha,Bhubaneshwar,No Elections,Redeemed/ Encashed,One Crore Bond,154,1540000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,July,27,3rd July to 12th July 2023,Sikkim,Gangtok,No Elections,Redeemed/ Encashed,One Crore Bond,8,80000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,July,27,3rd July to 12th July 2023,Telangana,Hyderabad,No Elections,Redeemed/ Encashed,One Crore Bond,328,3280000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,July,27,3rd July to 12th July 2023,West Bengal,Kolkata,No Elections,Redeemed/ Encashed,One Crore Bond,110,1100000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,July,27,3rd July to 12th July 2023,Maharashtra,Mumbai,No Elections,Redeemed/ Encashed,One Crore Bond,33,330000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,July,27,3rd July to 12th July 2023,Delhi,New Delhi,No Elections,Redeemed/ Encashed,One Crore Bond,109,1090000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,July,27,3rd July to 12th July 2023,Bihar,Patna,No Elections,Redeemed/ Encashed,One Crore Bond,26,260000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,July,27,3rd July to 12th July 2023,Jharkhand,Ranchi,No Elections,Redeemed/ Encashed,One Crore Bond,5,50000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,July,27,3rd July to 12th July 2023,Madhya Pradesh,Bhopal,No Elections,Sold/ Purchased,One Lakh Bond,9,900000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,July,27,3rd July to 12th July 2023,Telangana,Hyderabad,No Elections,Sold/ Purchased,One Lakh Bond,147,14700000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,July,27,3rd July to 12th July 2023,West Bengal,Kolkata,No Elections,Sold/ Purchased,One Lakh Bond,10,1000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,July,27,3rd July to 12th July 2023,Maharashtra,Mumbai,No Elections,Sold/ Purchased,One Lakh Bond,10,1000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,July,27,3rd July to 12th July 2023,Delhi,New Delhi,No Elections,Sold/ Purchased,One Lakh Bond,34,3400000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,July,27,3rd July to 12th July 2023,Andhra Pradesh,Vishakapatnam,No Elections,Sold/ Purchased,One Lakh Bond,10,1000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,July,27,3rd July to 12th July 2023,Telangana,Hyderabad,No Elections,Redeemed/ Encashed,One Lakh Bond,157,15700000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,July,27,3rd July to 12th July 2023,Delhi,New Delhi,No Elections,Redeemed/ Encashed,One Lakh Bond,58,5800000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,July,27,3rd July to 12th July 2023,Tamil Nadu,Chennai,No Elections,Sold/ Purchased,One Thousand Bond,1,1000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,July,27,3rd July to 12th July 2023,Gujarat,Gandhinagar,No Elections,Sold/ Purchased,One Thousand Bond,1,1000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,July,27,3rd July to 12th July 2023,Delhi,New Delhi,No Elections,Redeemed/ Encashed,One Thousand Bond,1,1000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,July,27,3rd July to 12th July 2023,Madhya Pradesh,Bhopal,No Elections,Sold/ Purchased,Ten Lakh Bond,9,9000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,July,27,3rd July to 12th July 2023,Tamil Nadu,Chennai,No Elections,Sold/ Purchased,Ten Lakh Bond,5,5000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,July,27,3rd July to 12th July 2023,Gujarat,Gandhinagar,No Elections,Sold/ Purchased,Ten Lakh Bond,10,10000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,July,27,3rd July to 12th July 2023,Telangana,Hyderabad,No Elections,Sold/ Purchased,Ten Lakh Bond,108,108000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,July,27,3rd July to 12th July 2023,West Bengal,Kolkata,No Elections,Sold/ Purchased,Ten Lakh Bond,161,161000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,July,27,3rd July to 12th July 2023,Maharashtra,Mumbai,No Elections,Sold/ Purchased,Ten Lakh Bond,9,9000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,July,27,3rd July to 12th July 2023,Delhi,New Delhi,No Elections,Sold/ Purchased,Ten Lakh Bond,32,32000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,July,27,3rd July to 12th July 2023,Goa,Panaji,No Elections,Sold/ Purchased,Ten Lakh Bond,4,4000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,July,27,3rd July to 12th July 2023,Andhra Pradesh,Vishakapatnam,No Elections,Sold/ Purchased,Ten Lakh Bond,38,38000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,July,27,3rd July to 12th July 2023,Odisha,Bhubaneshwar,No Elections,Redeemed/ Encashed,Ten Lakh Bond,15,15000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,July,27,3rd July to 12th July 2023,Telangana,Hyderabad,No Elections,Redeemed/ Encashed,Ten Lakh Bond,171,171000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,July,27,3rd July to 12th July 2023,West Bengal,Kolkata,No Elections,Redeemed/ Encashed,Ten Lakh Bond,70,70000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,July,27,3rd July to 12th July 2023,Delhi,New Delhi,No Elections,Redeemed/ Encashed,Ten Lakh Bond,80,80000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,July,27,3rd July to 12th July 2023,Bihar,Patna,No Elections,Redeemed/ Encashed,Ten Lakh Bond,40,40000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2023,January,25,19th January to 28th January 2023,Odisha,Bhubaneshwar,No Elections,Sold/ Purchased,One Crore Bond,5,50000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2023,January,25,19th January to 28th January 2023,Tamil Nadu,Chennai,No Elections,Sold/ Purchased,One Crore Bond,48,480000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2023,January,25,19th January to 28th January 2023,Gujarat,Gandhinagar,No Elections,Sold/ Purchased,One Crore Bond,12,120000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2023,January,25,19th January to 28th January 2023,Telangana,Hyderabad,No Elections,Sold/ Purchased,One Crore Bond,53,530000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2023,January,25,19th January to 28th January 2023,West Bengal,Kolkata,No Elections,Sold/ Purchased,One Crore Bond,94,940000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2023,January,25,19th January to 28th January 2023,Maharashtra,Mumbai,No Elections,Sold/ Purchased,One Crore Bond,58,580000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2023,January,25,19th January to 28th January 2023,Delhi,New Delhi,No Elections,Sold/ Purchased,One Crore Bond,30,300000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2023,January,25,19th January to 28th January 2023,Odisha,Bhubaneshwar,No Elections,Redeemed/ Encashed,One Crore Bond,5,50000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2023,January,25,19th January to 28th January 2023,Sikkim,Gangtok,No Elections,Redeemed/ Encashed,One Crore Bond,5,50000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2023,January,25,19th January to 28th January 2023,Telangana,Hyderabad,No Elections,Redeemed/ Encashed,One Crore Bond,21,210000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2023,January,25,19th January to 28th January 2023,West Bengal,Kolkata,No Elections,Redeemed/ Encashed,One Crore Bond,79,790000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2023,January,25,19th January to 28th January 2023,Delhi,New Delhi,No Elections,Redeemed/ Encashed,One Crore Bond,190,1900000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2023,January,25,19th January to 28th January 2023,Telangana,Hyderabad,No Elections,Sold/ Purchased,One Lakh Bond,15,1500000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2023,January,25,19th January to 28th January 2023,West Bengal,Kolkata,No Elections,Sold/ Purchased,One Lakh Bond,10,1000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2023,January,25,19th January to 28th January 2023,Maharashtra,Mumbai,No Elections,Sold/ Purchased,One Lakh Bond,10,1000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2023,January,25,19th January to 28th January 2023,Delhi,New Delhi,No Elections,Sold/ Purchased,One Lakh Bond,11,1100000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2023,January,25,19th January to 28th January 2023,Telangana,Hyderabad,No Elections,Redeemed/ Encashed,One Lakh Bond,5,500000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2023,January,25,19th January to 28th January 2023,Delhi,New Delhi,No Elections,Redeemed/ Encashed,One Lakh Bond,31,3100000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2023,January,25,19th January to 28th January 2023,Jharkhand,Ranchi,No Elections,Redeemed/ Encashed,One Lakh Bond,10,1000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
