fiscal_year,country,category,value_rupee,value_usd,currency,unit,note
2023-24,Chile,Trade Balance,-182169.82,-221.12,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,China,Export,5213324.87,6333.41,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,China,Import,34612888.08,42044.43,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,China,Trade Balance,-29399563.21,-35711.02,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Christmas Island,Export,0,0,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Christmas Island,Import,0,0,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Christmas Island,Trade Balance,0,0,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Cocos (Keeling) Islands,Export,0,0,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Colombia,Export,412569.47,500.94,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Colombia,Import,988085.67,1199.74,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Colombia,Trade Balance,-575516.2,-698.8,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Comoros,Export,7681.18,9.32,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Comoros,Import,5454.89,6.62,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Comoros,Trade Balance,2226.29,2.7,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Congo,Export,276928.54,336.01,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Congo,Import,162603.39,197.7,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Congo,Trade Balance,114325.15,138.31,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Cook Islands,Export,323.4,0.41,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Cook Islands,Import,0.38,0,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Cook Islands,Trade Balance,323.02,0.41,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Costa Rica,Export,66399.66,80.56,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Costa Rica,Import,38205.34,46.39,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Costa Rica,Trade Balance,28194.32,34.17,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
